condition,trial,time_s,hand,base_frame,x_m,y_m,z_m,qx,qy,qz,qw
P1_cercana,1,0.014712,L_hand_base_link,world,0.28800000,0.20949963,0.09497994,0.00000000,-0.00000000,0.70710678,0.70710678
P1_cercana,1,0.034707,L_hand_base_link,world,0.28800000,0.20949963,0.09497994,0.00000000,-0.00000000,0.70710678,0.70710678
P1_cercana,1,0.054589,L_hand_base_link,world,0.28808568,0.20956362,0.09501347,0.00000861,0.00003430,0.70706501,0.70714855
P1_cercana,1,0.074694,L_hand_base_link,world,0.28808568,0.20956362,0.09501347,0.00000861,0.00003430,0.70706501,0.70714855
P1_cercana,1,0.094717,L_hand_base_link,world,0.28808568,0.20956362,0.09501347,0.00000861,0.00003430,0.70706501,0.70714855
P1_cercana,1,0.114763,L_hand_base_link,world,0.28808568,0.20956362,0.09501347,0.00000861,0.00003430,0.70706501,0.70714855
P1_cercana,1,0.134841,L_hand_base_link,world,0.28945041,0.21058317,0.09555315,0.00014692,0.00057971,0.70640054,0.70781207
P1_cercana,1,0.154734,L_hand_base_link,world,0.28945041,0.21058317,0.09555315,0.00014692,0.00057971,0.70640054,0.70781207
P1_cercana,1,0.174753,L_hand_base_link,world,0.28945041,0.21058317,0.09555315,0.00014692,0.00057971,0.70640054,0.70781207
P1_cercana,1,0.194635,L_hand_base_link,world,0.29219031,0.21263183,0.09666914,0.00043156,0.00166933,0.70507140,0.70913422
P1_cercana,1,0.214792,L_hand_base_link,world,0.29219031,0.21263183,0.09666914,0.00043156,0.00166933,0.70507140,0.70913422
P1_cercana,1,0.234728,L_hand_base_link,world,0.29219031,0.21263183,0.09666914,0.00043156,0.00166933,0.70507140,0.70913422
P1_cercana,1,0.254643,L_hand_base_link,world,0.29219031,0.21263183,0.09666914,0.00043156,0.00166933,0.70507140,0.70913422
P1_cercana,1,0.274690,L_hand_base_link,world,0.29635561,0.21575131,0.09844953,0.00088122,0.00331274,0.70306301,0.71111930
P1_cercana,1,0.294874,L_hand_base_link,world,0.29635561,0.21575131,0.09844953,0.00088122,0.00331274,0.70306301,0.71111930
P1_cercana,1,0.314759,L_hand_base_link,world,0.29635561,0.21575131,0.09844953,0.00088122,0.00331274,0.70306301,0.71111930
P1_cercana,1,0.334583,L_hand_base_link,world,0.30194645,0.21994973,0.10100065,0.00151465,0.00549577,0.70038945,0.71373813
P1_cercana,1,0.354761,L_hand_base_link,world,0.30194645,0.21994973,0.10100065,0.00151465,0.00549577,0.70038945,0.71373813
P1_cercana,1,0.374731,L_hand_base_link,world,0.30194645,0.21994973,0.10100065,0.00151465,0.00549577,0.70038945,0.71373813
P1_cercana,1,0.394710,L_hand_base_link,world,0.30194645,0.21994973,0.10100065,0.00151465,0.00549577,0.70038945,0.71373813
P1_cercana,1,0.414611,L_hand_base_link,world,0.30849282,0.22488571,0.10422814,0.00229567,0.00802232,0.69728937,0.71674117
P1_cercana,1,0.434714,L_hand_base_link,world,0.30849282,0.22488571,0.10422814,0.00229567,0.00802232,0.69728937,0.71674117
P1_cercana,1,0.454759,L_hand_base_link,world,0.30849282,0.22488571,0.10422814,0.00229567,0.00802232,0.69728937,0.71674117
P1_cercana,1,0.474582,L_hand_base_link,world,0.31389183,0.22897598,0.10709034,0.00296820,0.01008517,0.69475560,0.71916906
P1_cercana,1,0.494756,L_hand_base_link,world,0.31389183,0.22897598,0.10709034,0.00296820,0.01008517,0.69475560,0.71916906
P1_cercana,1,0.514725,L_hand_base_link,world,0.31389183,0.22897598,0.10709034,0.00296820,0.01008517,0.69475560,0.71916906
P1_cercana,1,0.534783,L_hand_base_link,world,0.31389183,0.22897598,0.10709034,0.00296820,0.01008517,0.69475560,0.71916906
P1_cercana,1,0.554834,L_hand_base_link,world,0.31785350,0.23199022,0.10930891,0.00347622,0.01158846,0.69290865,0.72092387
P1_cercana,1,0.574677,L_hand_base_link,world,0.31785350,0.23199022,0.10930891,0.00347622,0.01158846,0.69290865,0.72092387
P1_cercana,1,0.594711,L_hand_base_link,world,0.31785350,0.23199022,0.10930891,0.00347622,0.01158846,0.69290865,0.72092387
P1_cercana,1,0.614632,L_hand_base_link,world,0.32039425,0.23392971,0.11078564,0.00380791,0.01254848,0.69172926,0.72203785
P1_cercana,1,0.634709,L_hand_base_link,world,0.32039425,0.23392971,0.11078564,0.00380791,0.01254848,0.69172926,0.72203785
P1_cercana,1,0.654754,L_hand_base_link,world,0.32039425,0.23392971,0.11078564,0.00380791,0.01254848,0.69172926,0.72203785
P1_cercana,1,0.674707,L_hand_base_link,world,0.32039425,0.23392971,0.11078564,0.00380791,0.01254848,0.69172926,0.72203785
P1_cercana,1,0.694700,L_hand_base_link,world,0.32152010,0.23479083,0.11145367,0.00395626,0.01297295,0.69120789,0.72252869
P1_cercana,1,0.714845,L_hand_base_link,world,0.32152010,0.23479083,0.11145367,0.00395626,0.01297295,0.69120789,0.72252869
P1_cercana,2,0.014507,L_hand_base_link,world,0.28800541,0.20949688,0.09498520,-0.00002493,-0.00002232,0.70707017,0.70714339
P1_cercana,2,0.034520,L_hand_base_link,world,0.28800541,0.20949688,0.09498520,-0.00002493,-0.00002232,0.70707017,0.70714339
P1_cercana,2,0.054538,L_hand_base_link,world,0.28800541,0.20949688,0.09498520,-0.00002493,-0.00002232,0.70707017,0.70714339
P1_cercana,2,0.074394,L_hand_base_link,world,0.28813325,0.20948770,0.09509420,-0.00026421,-0.00013739,0.70704896,0.70716453
P1_cercana,2,0.094531,L_hand_base_link,world,0.28813325,0.20948770,0.09509420,-0.00026421,-0.00013739,0.70704896,0.70716453
P1_cercana,2,0.114518,L_hand_base_link,world,0.28813325,0.20948770,0.09509420,-0.00026421,-0.00013739,0.70704896,0.70716453
P1_cercana,2,0.134514,L_hand_base_link,world,0.28813325,0.20948770,0.09509420,-0.00026421,-0.00013739,0.70704896,0.70716453
P1_cercana,2,0.154670,L_hand_base_link,world,0.28884122,0.20943669,0.09569810,-0.00158836,-0.00076445,0.70692993,0.70728139
P1_cercana,2,0.174527,L_hand_base_link,world,0.28884122,0.20943669,0.09569810,-0.00158836,-0.00076445,0.70692993,0.70728139
P1_cercana,2,0.194557,L_hand_base_link,world,0.28884122,0.20943669,0.09569810,-0.00158836,-0.00076445,0.70692993,0.70728139
P1_cercana,2,0.215040,L_hand_base_link,world,0.29007625,0.20934719,0.09675248,-0.00389332,-0.00181564,0.70671611,0.70748419
P1_cercana,2,0.234543,L_hand_base_link,world,0.29007625,0.20934719,0.09675248,-0.00389332,-0.00181564,0.70671611,0.70748419
P1_cercana,2,0.254519,L_hand_base_link,world,0.29007625,0.20934719,0.09675248,-0.00389332,-0.00181564,0.70671611,0.70748419
P1_cercana,2,0.274517,L_hand_base_link,world,0.29007625,0.20934719,0.09675248,-0.00389332,-0.00181564,0.70671611,0.70748419
P1_cercana,2,0.294504,L_hand_base_link,world,0.29181763,0.20922116,0.09824019,-0.00712813,-0.00320024,0.70640265,0.70776709
P1_cercana,2,0.314656,L_hand_base_link,world,0.29181763,0.20922116,0.09824019,-0.00712813,-0.00320024,0.70640265,0.70776709
P1_cercana,2,0.334457,L_hand_base_link,world,0.29181763,0.20922116,0.09824019,-0.00712813,-0.00320024,0.70640265,0.70776709
P1_cercana,2,0.354390,L_hand_base_link,world,0.29401035,0.20906624,0.10011277,-0.01116406,-0.00476738,0.70599189,0.70811587
P1_cercana,2,0.374720,L_hand_base_link,world,0.29401035,0.20906624,0.10011277,-0.01116406,-0.00476738,0.70599189,0.70811587
P1_cercana,2,0.394541,L_hand_base_link,world,0.29401035,0.20906624,0.10011277,-0.01116406,-0.00476738,0.70599189,0.70811587
P1_cercana,2,0.414614,L_hand_base_link,world,0.29401035,0.20906624,0.10011277,-0.01116406,-0.00476738,0.70599189,0.70811587
P1_cercana,2,0.434529,L_hand_base_link,world,0.29658220,0.20889780,0.10230283,-0.01581854,-0.00632637,0.70549631,0.70850880
P1_cercana,2,0.454489,L_hand_base_link,world,0.29658220,0.20889780,0.10230283,-0.01581854,-0.00632637,0.70549631,0.70850880
P1_cercana,2,0.474678,L_hand_base_link,world,0.29658220,0.20889780,0.10230283,-0.01581854,-0.00632637,0.70549631,0.70850880
P1_cercana,2,0.494414,L_hand_base_link,world,0.29945380,0.20874250,0.10473009,-0.02086331,-0.00765945,0.70494388,0.70891479
P1_cercana,2,0.514569,L_hand_base_link,world,0.29945380,0.20874250,0.10473009,-0.02086331,-0.00765945,0.70494388,0.70891479
P1_cercana,2,0.534606,L_hand_base_link,world,0.29945380,0.20874250,0.10473009,-0.02086331,-0.00765945,0.70494388,0.70891479
P1_cercana,2,0.554543,L_hand_base_link,world,0.29945380,0.20874250,0.10473009,-0.02086331,-0.00765945,0.70494388,0.70891479
P1_cercana,2,0.574495,L_hand_base_link,world,0.30253138,0.20864392,0.10729280,-0.02600033,-0.00852607,0.70438811,0.70928744
P1_cercana,2,0.594537,L_hand_base_link,world,0.30253138,0.20864392,0.10729280,-0.02600033,-0.00852607,0.70438811,0.70928744
P1_cercana,2,0.614587,L_hand_base_link,world,0.30253138,0.20864392,0.10729280,-0.02600033,-0.00852607,0.70438811,0.70928744
P1_cercana,2,0.634847,L_hand_base_link,world,0.30571179,0.20866769,0.10987049,-0.03086165,-0.00868043,0.70391630,0.70955905
P1_cercana,2,0.654471,L_hand_base_link,world,0.30571179,0.20866769,0.10987049,-0.03086165,-0.00868043,0.70391630,0.70955905
P1_cercana,2,0.674515,L_hand_base_link,world,0.30571179,0.20866769,0.10987049,-0.03086165,-0.00868043,0.70391630,0.70955905
P1_cercana,2,0.694671,L_hand_base_link,world,0.30571179,0.20866769,0.10987049,-0.03086165,-0.00868043,0.70391630,0.70955905
P1_cercana,2,0.714499,L_hand_base_link,world,0.30889783,0.20890821,0.11233582,-0.03502389,-0.00788734,0.70365697,0.70963229
P1_cercana,2,0.734563,L_hand_base_link,world,0.30889783,0.20890821,0.11233582,-0.03502389,-0.00788734,0.70365697,0.70963229
P1_cercana,2,0.754510,L_hand_base_link,world,0.30889783,0.20890821,0.11233582,-0.03502389,-0.00788734,0.70365697,0.70963229
P1_cercana,2,0.774390,L_hand_base_link,world,0.31196950,0.20949232,0.11453419,-0.03796821,-0.00595039,0.70379002,0.70936776
