x,y,z,left_pre_place_valid,right_pregrasp_valid,right_contact_valid,all_valid,lateral_transfer_distance
0.4,0.12,0.082,True,True,True,True,0.23
0.4,0.12,0.1,True,True,True,True,0.23
0.45,0.12,0.082,True,True,True,True,0.23
0.45,0.12,0.1,True,True,True,True,0.23
0.45,0.12,0.12,True,True,True,True,0.23
0.5,0.12,0.1,True,True,True,True,0.23
0.5,0.12,0.12,True,True,True,True,0.23
0.4,0.09,0.082,True,True,True,True,0.26
0.45,0.09,0.082,True,True,True,True,0.26
0.45,0.09,0.1,True,True,True,True,0.26
0.45,0.09,0.12,True,True,True,True,0.26
0.5,0.09,0.082,True,True,True,True,0.26
0.5,0.09,0.1,True,True,True,True,0.26
0.5,0.09,0.12,True,True,True,True,0.26
0.4,0.06,0.082,True,True,True,True,0.29000000000000004
0.45,0.06,0.082,True,True,True,True,0.29000000000000004
0.45,0.06,0.1,True,True,True,True,0.29000000000000004
0.45,0.06,0.12,True,True,True,True,0.29000000000000004
0.5,0.06,0.082,True,True,True,True,0.29000000000000004
0.5,0.06,0.1,True,True,True,True,0.29000000000000004
0.5,0.06,0.12,True,True,True,True,0.29000000000000004
0.4,0.03,0.082,True,True,True,True,0.32
0.45,0.03,0.082,True,True,True,True,0.32
0.45,0.03,0.1,True,True,True,True,0.32
0.45,0.03,0.12,True,True,True,True,0.32
0.5,0.03,0.082,True,True,True,True,0.32
0.5,0.03,0.1,True,True,True,True,0.32
0.5,0.03,0.12,True,True,True,True,0.32
0.4,0.0,0.082,True,True,True,True,0.35
0.45,0.0,0.082,True,True,True,True,0.35
0.45,0.0,0.1,True,True,True,True,0.35
0.45,0.0,0.12,True,True,True,True,0.35
0.5,0.0,0.082,True,True,True,True,0.35
0.5,0.0,0.1,True,True,True,True,0.35
0.5,0.0,0.12,True,True,True,True,0.35
0.4,-0.03,0.082,True,True,True,True,0.38
0.45,-0.03,0.082,True,True,True,True,0.38
0.45,-0.03,0.1,True,True,True,True,0.38
0.45,-0.03,0.12,True,True,True,True,0.38
0.5,-0.03,0.082,True,True,True,True,0.38
0.5,-0.03,0.1,True,True,True,True,0.38
0.5,-0.03,0.12,True,True,True,True,0.38
0.4,-0.06,0.082,True,True,True,True,0.41
0.45,-0.06,0.082,True,True,True,True,0.41
0.45,-0.06,0.1,True,True,True,True,0.41
0.45,-0.06,0.12,True,True,True,True,0.41
0.5,-0.06,0.082,True,True,True,True,0.41
0.5,-0.06,0.1,True,True,True,True,0.41
0.5,-0.06,0.12,True,True,True,True,0.41
0.4,-0.09,0.082,True,True,True,True,0.44
0.4,-0.09,0.1,True,True,True,True,0.44
0.4,-0.09,0.12,True,True,True,True,0.44
0.45,-0.09,0.082,True,True,True,True,0.44
0.45,-0.09,0.1,True,True,True,True,0.44
0.45,-0.09,0.12,True,True,True,True,0.44
0.5,-0.09,0.082,True,True,True,True,0.44
0.5,-0.09,0.1,True,True,True,True,0.44
0.5,-0.09,0.12,True,True,True,True,0.44
0.4,-0.12,0.082,True,True,True,True,0.47
0.4,-0.12,0.1,True,True,True,True,0.47
0.4,-0.12,0.12,True,True,True,True,0.47
0.45,-0.12,0.082,True,True,True,True,0.47
0.45,-0.12,0.1,True,True,True,True,0.47
0.45,-0.12,0.12,True,True,True,True,0.47
0.5,-0.12,0.1,True,True,True,True,0.47
0.5,-0.12,0.12,True,True,True,True,0.47
0.4,-0.15,0.082,True,True,True,True,0.5
0.4,-0.15,0.1,True,True,True,True,0.5
0.45,-0.15,0.082,True,True,True,True,0.5
0.45,-0.15,0.1,True,True,True,True,0.5
0.45,-0.15,0.12,True,True,True,True,0.5
0.5,-0.15,0.12,True,True,True,True,0.5
0.35,0.12,0.082,True,False,False,False,0.23
0.35,0.12,0.1,True,False,False,False,0.23
0.35,0.12,0.12,False,False,False,False,0.23
0.4,0.12,0.12,True,False,True,False,0.23
0.5,0.12,0.082,True,True,False,False,0.23
0.35,0.09,0.082,True,False,True,False,0.26
0.35,0.09,0.1,False,False,True,False,0.26
0.35,0.09,0.12,False,False,True,False,0.26
0.4,0.09,0.1,True,False,True,False,0.26
0.4,0.09,0.12,False,False,True,False,0.26
0.35,0.06,0.082,False,False,True,False,0.29000000000000004
0.35,0.06,0.1,False,False,True,False,0.29000000000000004
0.35,0.06,0.12,False,False,True,False,0.29000000000000004
0.4,0.06,0.1,True,False,True,False,0.29000000000000004
0.4,0.06,0.12,False,False,True,False,0.29000000000000004
0.35,0.03,0.082,False,False,True,False,0.32
0.35,0.03,0.1,False,False,True,False,0.32
0.35,0.03,0.12,False,False,True,False,0.32
0.4,0.03,0.1,False,False,True,False,0.32
0.4,0.03,0.12,False,False,True,False,0.32
0.35,0.0,0.082,False,False,True,False,0.35
0.35,0.0,0.1,False,False,True,False,0.35
0.35,0.0,0.12,False,False,True,False,0.35
0.4,0.0,0.1,False,False,True,False,0.35
0.4,0.0,0.12,False,False,True,False,0.35
0.35,-0.03,0.082,False,True,True,False,0.38
0.35,-0.03,0.1,False,False,True,False,0.38
0.35,-0.03,0.12,False,False,True,False,0.38
0.4,-0.03,0.1,False,True,True,False,0.38
0.4,-0.03,0.12,False,False,True,False,0.38
0.35,-0.06,0.082,False,True,True,False,0.41
0.35,-0.06,0.1,False,False,True,False,0.41
0.35,-0.06,0.12,False,False,True,False,0.41
